Date_Scrap,Heure_Scrap,Horaire_Depart,Horaire_Arrivee,ville_depart,ville_arrivee,Gare_Depart,Gare_Arrivee,Prix_Train,Duree_Train,Escale_Train
04-Jan,17,09:20,17:10,Bordeaux,Lyon,Bordeaux Terres de Borde,Lyon Perrache,21.99 €,7h50,Direct 
04-Jan,17,09:20,18:10,Bordeaux,Lyon,Bordeaux Terres de Borde,Lyon Gare Routière Perrache,21.99 €,8h50,1 stop 
04-Jan,17,09:35,17:10,Bordeaux,Lyon,Bordeaux Floirac Dravemont,Lyon Perrache,21.99 €,7h35,Direct 
04-Jan,17,09:55,18:30,Bordeaux,Lyon,Bordeaux Floirac Dravemont,Lyon Gare Routière Perrache,34.99 €,8h35,1 stop 
04-Jan,17,10:00,18:10,Bordeaux,Lyon,Bordeaux,Lyon Gare Routière Perrache,21.99 €,8h10,Direct 
04-Jan,17,10:00,18:35,Bordeaux,Lyon,Bordeaux,Lyon Perrache,26.28 €,8h35,1 stop 
04-Jan,17,13:00,20:50,Bordeaux,Lyon,Bordeaux Terres de Borde,Lyon Perrache,21.99 €,7h50,Direct 
04-Jan,17,13:00,20:50,Bordeaux,Lyon,Bordeaux Terres de Borde,Lyon Perrache,21.99 €,7h50,Direct 
04-Jan,17,13:00,23:05,Bordeaux,Lyon,Bordeaux Terres de Borde,Lyon Gare Routière Perrache,34.18 €,10h05,1 stop 
04-Jan,17,13:15,20:50,Bordeaux,Lyon,Bordeaux Floirac Dravemont,Lyon Perrache,21.99 €,7h35,Direct 
04-Jan,17,13:15,23:05,Bordeaux,Lyon,Bordeaux Floirac Dravemont,Lyon Gare Routière Perrache,34.18 €,9h50,1 stop 
04-Jan,17,16:00,23:05,Bordeaux,Lyon,Bordeaux,Lyon Gare Routière Perrache,34.49 €,7h05,Direct 
04-Jan,17,16:00,23:05,Bordeaux,Lyon,Bordeaux,Lyon Gare Routière Perrache,34.49 €,7h05,Direct 
04-Jan,17,22:40,06:20,Bordeaux,Lyon,Bordeaux Terres de Borde,Lyon Gare Routière Perrache,28.99 €,7h40,1 stop 
04-Jan,17,22:40,06:30,Bordeaux,Lyon,Bordeaux Terres de Borde,Lyon Perrache,34.98 €,7h50,1 stop 
04-Jan,17,22:40,06:45,Bordeaux,Lyon,Bordeaux Terres de Borde,Lyon Perrache,34.99 €,8h05,Direct 
04-Jan,17,23:30,06:20,Bordeaux,Lyon,Bordeaux,Lyon Gare Routière Perrache,21.99 €,6h50,Direct 
04-Jan,17,23:30,08:45,Bordeaux,Lyon,Bordeaux,Lyon Perrache,34.28 €,9h15,1 stop 
