Date_Scrap,Heure_Scrap,Horaire_Depart,Horaire_Arrivee,ville_depart,ville_arrivee,Gare_Depart,Gare_Arrivee,Prix_Train,Duree_Train,Escale_Train
05-Jan,17,05:46,07:56,Paris,Lyon,Paris Gare de Lyon,Lyon Part Dieu,42.00 €,2h10,Direct 
05-Jan,17,05:46,07:56,Paris,Lyon,Paris Gare de Lyon,Lyon Part Dieu,42.00 €,2h10,Direct 
05-Jan,17,05:46,08:10,Paris,Lyon,Paris Gare de Lyon,Lyon Perrache,42.00 €,2h24,Direct 
05-Jan,17,06:06,08:08,Paris,Lyon,Paris Gare de Lyon,Lyon Part Dieu,29.00 €,2h02,Direct 
05-Jan,17,06:06,08:21,Paris,Lyon,Paris Gare de Lyon,Lyon Perrache,28.00 €,2h15,Direct 
05-Jan,17,06:12,08:05,Paris,Lyon,Paris Gare de Lyon,Lyon-Saint Exupery Tgv,31.00 €,1h53,Direct 
05-Jan,17,06:12,08:05,Paris,Lyon,Paris Gare de Lyon,Lyon-Saint Exupery Tgv,31.00 €,1h53,Direct 
05-Jan,17,06:54,09:10,Paris,Lyon,Paris Gare de Lyon,Lyon Perrache,76.00 €,2h16,Direct 
05-Jan,17,07:07,09:00,Marne la Vallée - Chessy,Lyon,Marne-la Vallée Chessy Disneyland Paris,Lyon Part Dieu,45.00 €,1h53,Direct 
05-Jan,17,07:09,09:05,Paris,Lyon,Paris Gare de Lyon,Lyon-Saint Exupery Tgv,46.00 €,1h56,Direct 
05-Jan,17,07:19,09:22,Paris,Lyon,Paris Gare de Lyon,Lyon Part Dieu,76.00 €,2h03,Direct 
05-Jan,17,07:19,09:36,Paris,Lyon,Paris Gare de Lyon,Lyon Perrache,80.00 €,2h17,Direct 
05-Jan,17,07:24,09:30,Paris,Lyon,Paris Massy Tgv,Lyon Part Dieu,52.00 €,2h06,Direct 
05-Jan,17,07:24,09:30,Paris,Lyon,Paris Massy Tgv,Lyon Part Dieu,52.00 €,2h06,Direct 
05-Jan,17,07:35,12:42,Paris,Lyon,Paris Bercy,Lyon Part Dieu,65.60 €,5h07,Direct 
05-Jan,17,08:40,10:30,Marne la Vallée - Chessy,Lyon,Marne-la Vallée Chessy Disneyland Paris,Lyon Part Dieu,65.00 €,1h50,Direct 
05-Jan,17,08:57,10:56,Paris,Lyon,Paris Gare de Lyon,Lyon Part Dieu,60.00 €,1h59,Direct 
05-Jan,17,09:10,11:02,Marne la Vallée - Chessy,Lyon,Marne-la Vallée Chessy Disneyland Paris,Lyon Part Dieu,28.00 €,1h52,Direct 
05-Jan,17,09:19,11:26,Paris,Lyon,Paris Massy Tgv,Lyon Part Dieu,76.00 €,2h07,Direct 
05-Jan,17,09:54,11:56,Paris,Lyon,Paris Gare de Lyon,Lyon Part Dieu,60.00 €,2h02,Direct 
05-Jan,17,09:19,11:26,Paris,Lyon,Paris Massy Tgv,Lyon Part Dieu,76.00 €,2h07,Direct 
05-Jan,17,09:54,11:56,Paris,Lyon,Paris Gare de Lyon,Lyon Part Dieu,60.00 €,2h02,Direct 
05-Jan,17,09:54,12:10,Paris,Lyon,Paris Gare de Lyon,Lyon Perrache,65.00 €,2h16,Direct 
05-Jan,17,10:10,12:05,Paris,Lyon,Paris Gare de Lyon,Lyon-Saint Exupery Tgv,45.00 €,1h55,Direct 
05-Jan,17,10:12,12:03,Marne la Vallée - Chessy,Lyon,Marne-la Vallée Chessy Disneyland Paris,Lyon Part Dieu,94.00 €,1h51,Direct 
05-Jan,17,10:39,12:33,Paris,Lyon,Paris Gare de Lyon,LYON Aéroport Saint Exupéry,20.00 €,1h54,Direct 
